title;author_name;description;publish_date;cover_image_url
Az Şekerli;Sait Faik Abasıyanık;“Yerimden kalktım. Aynaya doğru ilerledim. İki hanımın sessizce beni dikizlemelerine aldırış etmeden baktım. Perişan bir haldeydim. Yüzüm sapsarıydı. Gözlerim kıpkırmızı. Kenarlarından fırlayan saçlarımı toplamak için şapkamı çıkarınca şöyle parmaklarımla bir tarasam elimde kalacaklarını sandım. Şapkamı giyip kenarlardan fırlayan saçları içeriye tıktım. Dışarı çıktım. Vapur Kadıköy’den kalkmış geliyordu. Haydarpaşa İstasyonu’na baktım. Kocaman kapılarından ötede kırmızı yeşil fenerli, demiryollu, trenli, yolculu, meraklı, düşünceli, perişan, yerini bulmaya çalışan bir âlem vardı. Her gün yüzlerce tren binlerce hikâye getiriyor, binlerce hikâye alıp gidiyordu.” “Hikâye Peşinde” adlı öyküden.;14.05.2019;https://img.kitapyurdu.com/v1/getImage/fn:3548703/wh:true/wi:800
Bay Pond’un Paradoksları;Gilbert K. Chesterton;Chesterton’ın 1936 yılındaki ölümünden hemen sonra yayımlanan Bay Pond’un Paradoksları, sekiz dedektiflik öyküsünden oluşuyor. Sıradan bir devlet memuru olan Bay Pond, başta dostları Yüzbaşı Gahagan ve Sir Hubert Wotton olmak üzere çevresindekileri çileden çıkaran paradokslarıyla, ilk bakışta anlamsız görünen çelişkili ifadeleriyle ünlüdür. Ne var ki “kafasında bir anlığına yüzeye çıkıp sonra dibe batan” bu “canavarlar” Bay Pond’a, karşılaştığı gizemli olayları çözecek müthiş bir sezgi gücü kazandırmıştır. Sherlock Holmes’ta temsilini bulan İngiliz polisiye geleneğinin hem devamı hem de yöntemsel bir eleştirisi sayılan Bay Pond’un Paradoksları, hiciv ile akılcılığın çarpıcı bir bileşimi olarak dünya klasikleri arasında yerini almıştır.;9.01.2024;https://img.kitapyurdu.com/v1/getImage/fn:11829931/wh:true/wi:800
Bela Çiçeği;Attila İlhan;"Size, bize, “mevcutlu” götürülen, az sonra karısından ayrı düşecek olana, Beyoğlu’nun arka sokaklarında çamurlara bata çıka yürüyene, karanlık odalarda kendini arayana, “eksik” sevene, dövülmüş halini kimseler görmesin isteyene, cam yeşili etek giyene, sonbahar uğultusu duymamış olana bakıyor Attilâ İlhan, bakıyor ve onlardan, sizden, bizden şiir yapıyor.
İlk kez 1962’de basılan Belâ Çiçeği’nde onun, kendine, hayatından şöyle ya da böyle gelip geçen insanlara, dostlarına, sevgililerine, sokaklara, meydanlara, toplumsal olaylara bakarak yaptığı şiirler bulacaksınız, belki kendinizi de...";11.06.2025;https://img.kitapyurdu.com/v1/getImage/fn:11510679/wh:true/wi:800
Beyaz Geceler;Fyodor Mihailoviç Dostoyevski; Beyaz Geceler isimli eserde hayalperest bir adamın hayatının dört günü anlatılmaktadır. Bu dört günlük süre içerisinde yaşadığı aşkını anlatmakta olduğu da söylenebilmektedir. Okuyucu için hüzünlü ve sevgi dolu bir hikaye olma özelliğine sahip olduğu ifade edilebilir. Beyaz Geceler hem bir kişilik dağılma hikayesi hem de bir aşk hikayesi olarak bilinmektedir.;10.06.2019;https://img.kitapyurdu.com/v1/getImage/fn:273851/wh:true/wi:800
Beyaz Zambaklar Ülkesinde;Grigory Petrov;Grigori Petrov, yayımlandığı dönemde Balkanlarda olduğu kadar genç Türkiye’de de büyük bir ilgiyle karşılanan Beyaz Zambaklar Ülkesinde eserinde, uzun yıllar ulus kimliğine sahip olamamış, işgaller, toplumsal eşitsizlikler, yoksulluk ve türlü güçlüklerle boğuşmuş küçücük bir ülkenin her yönden kalkınmasının hikâyesi büyük bir hayranlık ve sevgiyle anlatır. Bir avuç aydının kılavuzluğunda halkın her kesiminden insan, aydınlar, işçiler, köylüler, sanatçılar, zanaatkârlar, eğitimciler örneğine az rastlanan bir çabayla küçük ülkelerine, uluslarına sahip çıkarlar. Grigori Petrov da sonuçlarını bizzat gördüğü bu çabayı, birlik ve beraberliğin, ulus bilincine sahip olmanın değerini, masalsı üslubuyla eserinin hemen her sayfasında vurgular. Petrov’un Bulgar aydınlarına ithaf ettiği, onlar için bir kılavuz olarak tasarladığı bu özgün eser, Türkçeye ilk kez 1928 yılında Bulgarcadan çevrildi. O tarihten beri defalarca basıldı, pek çok kez yeni çevirisi yapıldı, harp okullarından köy okullarına kadar genç Türkiye’nin öğretmenlerine, aydınlarına da kılavuz oldu. Günümüzde okuryazarlık oranı yüzde yüze varan, eğitim ve öğretim sistemiyle, halkının mutluluğuyla diğer uluslara örnek olan Finlandiya’nın “kuruluş” hikâyesi Beyaz Zambaklar Ülkesinde eserinden alınacak pek çok ders ve ilham var hâlâ…;12.04.2021;https://img.kitapyurdu.com/v1/getImage/fn:11399620/wh:true/wi:800
Bir İdam Mahkumunun Son Günü;Victor Hugo;"Victor Hugo, 1829 yılında yayımlanan Bir İdam Mahkûmunun Son Günü’nü yazdığında 26 yaşındaydı. Genç yazar, ölüme mahkûm edilen bir insanın son gününü büyük bir ustalıkla anlatarak kamu vicdanını etkilemeyi ve idam cezasına karşı bir protesto hareketi başlatmayı amaçlamış, başarılı da olmuştur. Bugün dünyanın birçok ülkesinde idam cezası yürürlükten kaldırılmışsa, böylesi bir cezanın hem trajik hem de insanlık dışı yanını daha 19. yüzyılın ilk yarısında gözler önüne seren Hugo’nun bunda hiç de azımsanmayacak bir payı vardır.

Şiirleri, oyunları, Sefiller ve Notre-Dame’ın Kamburu gibi yapıtlarıyla Romantik dönem Fransız edebiyatının en saygın yazarlarından biri olan Victor Hugo’nun bu romanının bir başka önemli özelliği de, bir tür “zihinsel otopsi” niteliği taşımasıdır.";1.03.2024;https://img.kitapyurdu.com/v1/getImage/fn:6407476/wh:true/wi:800
Bizans'ın Gizli Tarihi ;Prokopius;"Prokopios, İmparator İustinianos zamanını anlattığı Bizans’ın Gizli Tarihi’nde daha önceki kitaplarında
zamana uydurmak zorunda kaldığı, işin içyüzünü açıklamayı göze alamadığı, sessizce geçiştirilmiş
olayları apaçık ortaya koyduğunu belirtir.";13.07.2022;https://img.kitapyurdu.com/v1/getImage/fn:175022/wh:true/wi:800
Böyle Bitti;Eva Dolan;"Üç yüz kişiydiler. Geriye sadece altısı kaldı…
Bir zamanlar ailelere, arkadaşlara, çocuklara, sevgiye ve hayata ev sahipliği yapmış bu bina şimdilerde kaderine terk edildi.
Londra’nın göbeğindeki eski sosyal konutlardan biri, yerine yapılacak lüks dairelerden oluşan yeni bir proje sebebiyle yıkım tehdidiyle karşı karşıyadır. Savaşmadan pes etmemeye kararlı bir avuç insanın ise ilham aldığı iki kadın vardır: Altmışlı yaşlarındaki fotoğrafçı Molly ile kızı yaşlarındaki, polis akademisinden terk, aktivist Ella.
Binada düzenlenen bir yardım etkinliğinden sonra kendini gizemli bir adamın cesediyle baş başa bulan ve ne yapacağını bilemeyen Ella, Molly’yi yardıma çağırır ve iki kadın cesedi saklamak için bir plan yapar. Fakat hiçbir sır uzun süre gömülü kalmaz, verdikleri bu kararın yankıları ikilinin hayatını sonsuza dek değiştirecektir.
Çehresi her gün değişen Londra’daki bir soylulaştırma projesini merkezine alan Böyle Bitti, idealist ve cesur iki kadının değişim yaratma amacıyla giriştikleri mücadelede cinayetle yüz yüze gelişlerini konu ediniyor. Eva Dolan, arkadaşlıkları şüphe ve ihanetle zehirlenen karakterlerin karmaşık ruh hallerini titizlikle çizen, gerilim ve merak unsurlarını son sayfaya dek taşımayı başaran, nitelikli bir polisiyeye imza atıyor.";3.10.2023;https://img.kitapyurdu.com/v1/getImage/fn:11776388/wh:true/wi:800
Büyük Mübadele;Kemal Arı;"1919-1922 tarihleri arasında yaşanan Milli Mücadele’nin kazanılmasının ardından Anadolu’daki Rumların bir kısmı Yunan ordusu ile birlikte yaşadıkları toprakları terk etmeye başladı. Lozan Barış Konferansı toplandığında nüfus değişimi (mübadele) konusu ivedi olarak gündeme geldi ve Türkiye ve Yunanistan, savaş sonrası ortaya çıkan azınlık sorunlarının bir nüfus mübadelesi ile çözülmesini kabul etti.
Komisyonların tartışmalı konularda uzlaşma sağlamasıyla, 30 Ocak 1923 günü Türk ve Rum Nüfus Mübadelesi’ne İlişkin Sözleşme ve Protokol imzalandı. Mübadele zorunlu olacak ve İstanbul dışında yaşayan Rum Ortodoks Türk uyruklular ile Batı Trakya dışında yaşayan Müslüman Yunan uyrukluları kapsayacaktı. Prof. Dr. Kemal Arı bu çalışmasıyla, Türk-Yunan Savaşı’nın hemen sonrasında gerçekleştirilen mübadelenin 100. yılında, ağırlıkla Türkiye’ye zorunlu göç ile göçe ilişkin sorunları doğrudan yaşamış insanlara, toplumsal oluşumlara ve bu oluşumların siyasal düzeyde yansımalarına odaklanıyor.";13.10.2023;https://img.kitapyurdu.com/v1/getImage/fn:11738346/wh:true/wi:800
Cam İnciler;Emeric Pressburger;Emeric Pressburger, bu usta işi “kara” gerilim romanıyla, Soykırım ve kötülüğün sıradanlığı üzerine yazılmış en etkileyici yapıtlardan birine imza atmıştır. Piyano akortçusu Karl Braun, 1965 Haziran’ında Londra’da kiraladığı odasına yerleşir. İlk bakışta okurun rahatlıkla duygudaşlık kurabileceği, savaş sırasında kaybettiği karısıyla çocuğunun yasını tutan, müzikten anlayan, ince ruhlu bir beyefendi gibi görünür. Siyasi görüşleri nedeniyle 1933’te Almanya’yı terk ettiğini söyleyerek komşularının saygısını kazanan bu Alman, aslında insanlığa karşı işlediği suçlardan yirmi yıldır aranan bir beyin cerrahı, Nazi savaş suçlusu Dr. Otto Reitmüller’den başkası değildir. Yakalanma korkusuyla yaşayan doktorun paranoyasıyla birlikte gerilimin dozu da giderek artar. Pressburger sarsıcı finale doğru ilerlerken ahlak, sorumluluk ve ilahi adalet kavramları üzerinde durur. 1966’da okurla buluşan Cam İnciler hakkında, Braun’un gerçek kimliğinin ilk bölümde ortaya çıkmasını eleştirerek yazarın asıl meselesini ıskalayan tek bir yazı yayımlanmıştı. Roman çok geçmeden unutulup kayıp edebi hazineler arasında yerini aldı. Savaş suçlularının edebiyatta belli klişelere sığdırılarak tasvir edildiği o dönemde Pressburger’ın hedefi, sıradan bir insanla tüyler ürpertici suçlar işlemiş bir canavarı kendinde buluşturan Karl Braun karakteriyle, Hannah Arendt’in de vurguladığı gibi, Soykırım’ın faillerinin sapkın ya da sadist değil, “son derece insan” olduklarına işaret etmekti.;3.06.2023;https://img.kitapyurdu.com/v1/getImage/fn:11725734/wh:true/wi:800
Canvermezler Tekkesi;Selim Nüzhet Gerçek;"Ali Nail, Karadeniz’deki fırtınadan etkilenen balıkçılara yardım için Rumelikavağı’ndan Kilyos’a doğru atıyla yola çıkar. Karanlık çökünce yolunu şaşırır ve ıssız patikalarda tanımlayamadığı karaltılar görmeye başlar. Bu arada adeta bir ruh gibi süzülerek ilerleyen sevgilisi Meliha’yı görür, peşine takılır ve uçurumdan düşerek bayılır. Uyandığında başucunda ihtiyar bir adam görür...
Rivayete göre felsefe taşını ve ölümsüzlüğün sırrını bulan Sen Jermen Kontu, Sultan I. Mahmut zamanında gizlice İstanbul’a gelir ve bu sırrı birine öğreterek tekrar sırra kadem basar. Böylece yüzyıllardır insanların hayatlarını birtakım doğaüstü tekniklerle kendi vücutlarına aktararak yaşamlarını sürdüren Canvermezler ortaya çıkar. Toplumdan uzak ve gezgin yaşayan Canvermezler’i tanıyıp da hayatta kalan kimse yoktur. Tek istisnası, başından geçenleri insanlığı uyarmak için miras bırakan Ali Nail’dir. Ancak yaşayan kendisi midir yoksa hayaleti midir, burası meçhuldür.
Selim Nüzhet Gerçek’in Ahmet Kâmil müstearıyla, Claude Farrère’in La Maison des Hommes Vivants adlı eserinden uyarlayarak 1921 yılında İleri gazetesinde yayımladıktan sonra 1922’de kitaplaştırdığı Canvermezler Tekkesi, esrarengiz olayları, doğaüstü karakterleri ve okura yaşattığı mistik ürpertilerle edebiyatımızın ilk gotik romanı olarak değerlendirilmektedir.";17.06.2025;https://img.kitapyurdu.com/v1/getImage/fn:12077270/wh:true/wi:800
Carmilla;Sheridan Le Fanu;Sheridan Le Fanu (1814-1873): İrlanda edebiyatının en değerli isimlerindendir. Hukuk eğitimi almasına rağmen gazetecilik, yazarlık ve dergi editörlüğü yapmıştır. Çocukluğundan itibaren ilgisini çeken demonoloji, gizemli sanatlar ve folklora dair kitaplardan etkilenmiş, bu ilgisini İrlanda masallarının doğaüstü unsurlarıyla harmanlayarak İngilizce yazılmış en güzel hayalet hikâyelerinden bazılarını yaratmıştır. TheCockandAnchor, UncleSilas, Wylder’sHand gibi ünlü romanlarının yanı sıra dehşet ve doğaüstü unsurlar içeren hikâyeleriyle başta James Joyce olmak üzere pek çok yazarı etkilemiştir. Carmilla, Sheridan Le Fanu’nun en iyi bilinen hikâyelerinden ve vampir edebiyatının öncülerindendir. BramStoker’ınDracula’sından yirmi altı yıl önce yazılmış ve türün başlıca esin kaynaklarından biri olmuştur. Bu tür içerisinde bir kadın vampir karakteri içermesi bakımından ayrıca ilgi çekicidir. Vampir mitinin günümüze dek gelmesine vesile olan bu klasik metin pek çok kez sinema ve televizyona da uyarlanmıştır.;5.09.2023;https://img.kitapyurdu.com/v1/getImage/fn:7526908/wh:true/wi:800
Çatal Dil;William Golding;"MÖ birinci yüzyılda kutsal Delphi şehrinin ünlü tapınağı zenginliğini ve dünyadaki nüfuzunu giderek yitirmektedir. Romalılar Yunan şehirlerine hâkim olmak üzeredir. Arieka adlı genç kız, Delphi’de Apollon adına kehanette bulunmak üzere Pythia olarak seçilir. Apollon’un yeryüzündeki sesi olarak, tanrının hizmetinde geçirdiği yıllar boyunca Delphi’nin çöküşüne ilk elden tanıklık edecektir. Yaşlılığında geçmişe dönerek, sevgisiz bir ailede geçen çocukluğunu, psişik güçlere sahip genç bir bakire olarak Yüksek Rahip İonides tarafından Delphi’de üstleneceği rol için seçilişini, tanrılara karşı ikircikli tavrını ve hayatının bilicilikle geçen altmış yılını gözden geçirir.
Bu son romanını tamamlayamadan yaşama veda eden Golding, Çatal Dil’de bizi mazlum ama bağımsız ve olağanüstü sahici bir kadın karakterle tanıştırırken, eski Yunan dünyasını da capcanlı bir atmosfere büründürür.";15.05.2019;https://img.kitapyurdu.com/v1/getImage/fn:1105955/wh:true/wi:800
Çılgın Orlando 1;Ludovico Ariosto;Ludovico Ariosto (1474-1533): Ünlü İtalyan şair. Hukuk öğrenimi görmüş, kalabalık ailesine bakmak için Ferrara dukalarının yanında çalışmak zorunda kalmıştır. Çağdaşı Machiavelli gibi Hümanizma-Rönesans’ın temelini oluşturan yazarlardan biri olan Ariosto şiirin yanı sıra komedya, hiciv gibi türlerde de eserler vermiştir. Kendisine ölümsüz bir ün kazandıran ve gelmiş geçmiş en büyük şairler arasında anılmasını sağlayan eseri Çılgın Orlando üzerinde neredeyse 30 yıl çalışmıştır. Şair manzum şövalye hikâyelerini ve Şarlman’ın Hristiyanlığı yayma çabasını temel aldığı eserinde ince bir alaycılıkla derin bir insan sevgisini iç içe işler. Yayımlanmasının hemen ardından büyük bir başarı kazanan Çılgın Orlando sadece İtalya’da 154 baskı yapmış, hemen hemen bütün Avrupa dillerine çevrilmiştir. Hasan Âli Yücel Klasikler Dizisi’nde üç cilt olarak yayımlanacak olan Çılgın Orlando , İtalyanca aslından ve manzum olarak dilimize ilk kez çevriliyor.;11.07.2023;https://img.kitapyurdu.com/v1/getImage/fn:11738341/wh:true/wi:800
Çimen Yaprakları 3;Walt Whitman;Walt Whitman (1819-1892): Amerikan şiir geleneğinin önde gelen, kurucu şairlerinden Walt Whitman sokağın, kalabalıkların ve onları oluşturan bireylerin sözcüsüdür. Amerika’da demokrasi, ulus olma, beden ve cinsellik kavramlarını şiire taşıyan Whitman ilk modernist şairlerdendir. Çimen Yaprakları’nın ilk baskısı 1855 yılında yapıldı, bir önsöz ve 12 başlıksız şiirden ibaretti. Whitman yaşamı boyunca yazdığı şiirleri kitabına ekleyerek defalarca yeni baskılarını hazırladı. Son günlerini yine Çimen Yaprakları’nın son baskısını düzenleyerek geçirdi. Ölüm döşeği edisyonu olarak adlandırılan bu baskıda şairin “Yolculuğun Sonundan Geriye Doğru Bir Bakış” adlı yazısıyla birlikte kitap 438 sayfaydı ve 400 civarında şiirden oluşuyordu. Çimen Yaprakları’nı oluşturan bütün şiirler Hasan Âli Yücel Klasikler Dizisi’nde yayımlanırken dört ciltte toplandı. Elinizdeki kitap bu ciltlerin üçüncüsüdür.;3.10.2023;https://img.kitapyurdu.com/v1/getImage/fn:11776385/wh:true/wi:800
